id,user_id,name,apellido,email,location,rating,comment,fecha_nacimiento,lugar_vivienda,fecha_llegada,fecha_salida
20,20,María,Fernández,maría.fernández@example.com,Cerro de La Popa,2,"La comida en los alrededores es deliciosa, pero un poco costosa.",1970-03-21,Pereira,2024-05-22,2024-06-01
21,21,Pedro,Pérez,pedro.pérez@example.com,Castillo de San Felipe,5,Perfecto para tomar fotos espectaculares y disfrutar del ambiente.,1994-10-30,Pereira,2023-04-02,2023-04-10
22,22,Carlos,Moreno,carlos.moreno@example.com,Castillo de San Felipe,3,"El servicio en algunos lugares no es el mejor, pero el paisaje lo compensa.",1968-09-10,Santa Marta,2024-04-05,2024-04-12
23,23,Pedro,López,pedro.lópez@example.com,Islas del Rosario,4,Perfecto para tomar fotos espectaculares y disfrutar del ambiente.,2000-09-28,Ibagué,2024-05-19,2024-05-24
24,24,Luis,Gómez,luis.gómez@example.com,Plaza Santo Domingo,5,"Buena experiencia, pero el clima puede ser muy caluroso durante el día.",1975-05-24,Manizales,2024-04-20,2024-04-24
25,25,Luis,Moreno,luis.moreno@example.com,Plaza Santo Domingo,1,"Buena experiencia, pero el clima puede ser muy caluroso durante el día.",1963-05-17,Pereira,2024-08-13,2024-08-16
26,26,Luis,Fernández,luis.fernández@example.com,Muelle de los Pegasos,4,"La comida en los alrededores es deliciosa, pero un poco costosa.",1985-04-03,Bogotá,2024-09-19,2024-09-22
27,27,Juan,Fernández,juan.fernández@example.com,Castillo de San Felipe,5,"El servicio en algunos lugares no es el mejor, pero el paisaje lo compensa.",1981-08-11,Ibagué,2024-09-26,2024-09-30
28,28,Pedro,Martínez,pedro.martínez@example.com,Cerro de La Popa,1,"Un lugar increíble para visitar, lleno de historia y cultura.",1971-02-08,Cali,2024-12-20,2024-12-26
29,29,María,Moreno,maría.moreno@example.com,Islas del Rosario,3,"La comida en los alrededores es deliciosa, pero un poco costosa.",2005-09-18,Bogotá,2023-04-02,2023-04-03
30,30,Andrea,López,andrea.lópez@example.com,Museo del Oro Zenú,4,"Una experiencia maravillosa, las vistas son impresionantes.",1960-10-03,Cali,2024-07-29,2024-08-03
31,31,Daniela,Gómez,daniela.gómez@example.com,Castillo de San Felipe,3,"Buena experiencia, pero el clima puede ser muy caluroso durante el día.",1966-02-28,Bucaramanga,2024-12-11,2024-12-21
32,32,Daniela,Gómez,daniela.gómez@example.com,Castillo de San Felipe,2,"Buena experiencia, pero el clima puede ser muy caluroso durante el día.",1994-07-12,Bucaramanga,2024-01-14,2024-01-19
33,33,Luis,Rodríguez,luis.rodríguez@example.com,Playa Blanca,5,"Muy turístico, pero vale la pena cada segundo.",1986-04-29,Ibagué,2023-11-13,2023-11-23
34,34,Daniela,López,daniela.lópez@example.com,Cerro de La Popa,2,"El servicio en algunos lugares no es el mejor, pero el paisaje lo compensa.",2002-01-02,Bucaramanga,2023-06-18,2023-06-23
35,35,Daniela,Rodríguez,daniela.rodríguez@example.com,Playa Blanca,3,Perfecto para tomar fotos espectaculares y disfrutar del ambiente.,1983-04-26,Cúcuta,2023-06-18,2023-06-24
36,36,Andrea,López,andrea.lópez@example.com,Museo del Oro Zenú,5,"Un lugar increíble para visitar, lleno de historia y cultura.",1966-02-12,Medellín,2024-11-08,2024-11-15
37,37,Sofía,Pérez,sofía.pérez@example.com,Playa Blanca,5,"Hermoso sitio, pero demasiada gente en temporada alta.",1981-10-29,Medellín,2024-02-16,2024-02-23
38,38,Valentina,Martínez,valentina.martínez@example.com,Cerro de La Popa,1,Perfecto para tomar fotos espectaculares y disfrutar del ambiente.,1981-04-09,Santa Marta,2024-02-29,2024-03-05
39,39,María,Gutiérrez,maría.gutiérrez@example.com,Islas del Rosario,5,"Muy turístico, pero vale la pena cada segundo.",1976-12-26,Medellín,2023-05-04,2023-05-13
40,40,Valentina,Castro,valentina.castro@example.com,Cerro de La Popa,4,Perfecto para tomar fotos espectaculares y disfrutar del ambiente.,1972-12-10,Bogotá,2023-09-16,2023-09-23
41,41,Sofía,Gutiérrez,sofía.gutiérrez@example.com,Castillo de San Felipe,3,"Hermoso sitio, pero demasiada gente en temporada alta.",1972-04-23,Cúcuta,2024-10-31,2024-11-07
42,42,Luis,Moreno,luis.moreno@example.com,Castillo de San Felipe,2,"Un lugar increíble para visitar, lleno de historia y cultura.",1999-06-29,Pereira,2024-10-02,2024-10-12
43,43,Juan,Castro,juan.castro@example.com,Museo del Oro Zenú,1,"Buena experiencia, pero el clima puede ser muy caluroso durante el día.",1992-10-23,Manizales,2025-01-29,2025-02-05
44,44,Daniela,Gómez,daniela.gómez@example.com,Cerro de La Popa,1,"Hermoso sitio, pero demasiada gente en temporada alta.",1964-09-15,Ibagué,2023-10-31,2023-11-08
45,45,Andrea,Gómez,andrea.gómez@example.com,Cerro de La Popa,1,"Una experiencia maravillosa, las vistas son impresionantes.",1965-12-01,Barranquilla,2024-02-25,2024-02-28
46,46,Juan,López,juan.lópez@example.com,Muelle de los Pegasos,5,"Muy turístico, pero vale la pena cada segundo.",1970-07-25,Medellín,2023-09-16,2023-09-25
47,47,Andrea,Pérez,andrea.pérez@example.com,Islas del Rosario,4,Definitivamente un sitio para regresar y recomendar.,2004-04-28,Bogotá,2024-04-07,2024-04-16
48,48,Daniela,Moreno,daniela.moreno@example.com,Cerro de La Popa,5,Los guías turísticos hacen un excelente trabajo explicando la historia del lugar.,1967-08-04,Santa Marta,2023-09-29,2023-10-06
49,49,Valentina,Rodríguez,valentina.rodríguez@example.com,Plaza Santo Domingo,4,"Hermoso sitio, pero demasiada gente en temporada alta.",1975-02-20,Cúcuta,2024-10-08,2024-10-11
50,50,Daniela,Gómez,daniela.gómez@example.com,Ciudad Amurallada,2,"La comida en los alrededores es deliciosa, pero un poco costosa.",1982-12-30,Bucaramanga,2024-07-08,2024-07-12
51,51,Fernando,Gómez,fernando.gómez@example.com,Muelle de los Pegasos,1,"El servicio en algunos lugares no es el mejor, pero el paisaje lo compensa.",1976-12-13,Santa Marta,2023-07-27,2023-08-06
52,52,Daniela,López,daniela.lópez@example.com,Islas del Rosario,2,Los guías turísticos hacen un excelente trabajo explicando la historia del lugar.,1984-09-12,Bucaramanga,2024-07-05,2024-07-12
53,53,Sofía,López,sofía.lópez@example.com,Plaza Santo Domingo,5,Perfecto para tomar fotos espectaculares y disfrutar del ambiente.,1970-01-17,Pereira,2023-08-07,2023-08-12
54,54,Valentina,Fernández,valentina.fernández@example.com,Castillo de San Felipe,3,"Muy turístico, pero vale la pena cada segundo.",1973-02-14,Santa Marta,2023-12-11,2023-12-19
55,55,Sofía,Gómez,sofía.gómez@example.com,Cerro de La Popa,2,Definitivamente un sitio para regresar y recomendar.,1971-11-28,Ibagué,2023-10-18,2023-10-20
56,56,Daniela,Fernández,daniela.fernández@example.com,Castillo de San Felipe,5,"El servicio en algunos lugares no es el mejor, pero el paisaje lo compensa.",1990-06-23,Barranquilla,2024-02-12,2024-02-18
57,57,Juan,Gómez,juan.gómez@example.com,Islas del Rosario,5,"Muy turístico, pero vale la pena cada segundo.",2005-03-09,Bogotá,2023-06-27,2023-07-05
58,58,Juan,Díaz,juan.díaz@example.com,Islas del Rosario,4,Definitivamente un sitio para regresar y recomendar.,1969-08-17,Medellín,2024-12-09,2024-12-16
59,59,Luis,Martínez,luis.martínez@example.com,Ciudad Amurallada,5,Los guías turísticos hacen un excelente trabajo explicando la historia del lugar.,1979-10-23,Bogotá,2023-12-08,2023-12-18
60,60,Valentina,Martínez,valentina.martínez@example.com,Museo del Oro Zenú,4,"Una experiencia maravillosa, las vistas son impresionantes.",2005-03-22,Bucaramanga,2023-10-28,2023-10-31
61,61,Carlos,Gutiérrez,carlos.gutiérrez@example.com,Cerro de La Popa,4,"La comida en los alrededores es deliciosa, pero un poco costosa.",1976-06-04,Barranquilla,2023-12-25,2023-12-31
62,62,Carlos,Moreno,carlos.moreno@example.com,Playa Blanca,1,Definitivamente un sitio para regresar y recomendar.,1993-06-24,Barranquilla,2023-03-02,2023-03-12
63,63,Carlos,Pérez,carlos.pérez@example.com,Cerro de La Popa,1,"Un lugar increíble para visitar, lleno de historia y cultura.",1968-07-03,Cúcuta,2024-11-22,2024-11-27
64,64,Pedro,Gómez,pedro.gómez@example.com,Castillo de San Felipe,4,"La comida en los alrededores es deliciosa, pero un poco costosa.",1991-03-07,Manizales,2024-11-28,2024-12-08
65,65,María,Rodríguez,maría.rodríguez@example.com,Playa Blanca,4,Definitivamente un sitio para regresar y recomendar.,1991-08-31,Bucaramanga,2023-07-27,2023-07-29
66,66,Luis,Castro,luis.castro@example.com,Castillo de San Felipe,5,"Una experiencia maravillosa, las vistas son impresionantes.",1986-01-23,Bogotá,2025-01-04,2025-01-13
67,67,Luis,Moreno,luis.moreno@example.com,Museo del Oro Zenú,5,"Buena experiencia, pero el clima puede ser muy caluroso durante el día.",1984-12-14,Medellín,2023-08-22,2023-08-29
68,68,Daniela,López,daniela.lópez@example.com,Museo del Oro Zenú,5,"Buena experiencia, pero el clima puede ser muy caluroso durante el día.",1961-01-15,Barranquilla,2024-01-01,2024-01-04
69,69,Andrea,Rodríguez,andrea.rodríguez@example.com,Museo del Oro Zenú,1,"Un lugar increíble para visitar, lleno de historia y cultura.",2002-03-29,Medellín,2025-02-07,2025-02-11
70,70,Fernando,Moreno,fernando.moreno@example.com,Plaza Santo Domingo,5,"Buena experiencia, pero el clima puede ser muy caluroso durante el día.",2004-08-05,Barranquilla,2023-05-24,2023-05-31
71,71,Fernando,Gutiérrez,fernando.gutiérrez@example.com,Museo del Oro Zenú,3,"Una experiencia maravillosa, las vistas son impresionantes.",1971-05-17,Manizales,2023-04-24,2023-04-28
72,72,Valentina,Gómez,valentina.gómez@example.com,Muelle de los Pegasos,1,"La comida en los alrededores es deliciosa, pero un poco costosa.",1993-09-17,Barranquilla,2024-04-29,2024-05-03
73,73,Carlos,Gómez,carlos.gómez@example.com,Plaza Santo Domingo,2,"Muy turístico, pero vale la pena cada segundo.",1994-01-04,Ibagué,2025-02-10,2025-02-14
74,74,Daniela,Rodríguez,daniela.rodríguez@example.com,Plaza Santo Domingo,3,"El servicio en algunos lugares no es el mejor, pero el paisaje lo compensa.",2001-05-14,Cali,2023-10-05,2023-10-15
75,75,Luis,Fernández,luis.fernández@example.com,Castillo de San Felipe,4,"La comida en los alrededores es deliciosa, pero un poco costosa.",1987-08-02,Bogotá,2024-11-21,2024-11-25
76,76,Carlos,Castro,carlos.castro@example.com,Ciudad Amurallada,1,"Buena experiencia, pero el clima puede ser muy caluroso durante el día.",1970-09-10,Cúcuta,2024-08-24,2024-09-03
77,77,Fernando,Pérez,fernando.pérez@example.com,Muelle de los Pegasos,2,"Muy turístico, pero vale la pena cada segundo.",1979-11-18,Cali,2024-12-01,2024-12-05
78,78,Carlos,Fernández,carlos.fernández@example.com,Playa Blanca,1,"Buena experiencia, pero el clima puede ser muy caluroso durante el día.",1967-05-05,Pereira,2024-10-05,2024-10-06
79,79,Sofía,Gómez,sofía.gómez@example.com,Playa Blanca,4,Perfecto para tomar fotos espectaculares y disfrutar del ambiente.,1972-12-17,Bucaramanga,2023-03-15,2023-03-22
80,80,Pedro,Díaz,pedro.díaz@example.com,Islas del Rosario,5,"Buena experiencia, pero el clima puede ser muy caluroso durante el día.",1987-05-08,Cali,2024-06-11,2024-06-20
81,81,Carlos,López,carlos.lópez@example.com,Playa Blanca,4,Los guías turísticos hacen un excelente trabajo explicando la historia del lugar.,1996-01-20,Ibagué,2024-11-10,2024-11-13
82,82,Juan,Gómez,juan.gómez@example.com,Ciudad Amurallada,2,Perfecto para tomar fotos espectaculares y disfrutar del ambiente.,2003-04-20,Barranquilla,2024-12-10,2024-12-15
83,83,Luis,Castro,luis.castro@example.com,Playa Blanca,3,Perfecto para tomar fotos espectaculares y disfrutar del ambiente.,1998-04-17,Bogotá,2024-12-14,2024-12-18
84,84,Daniela,Moreno,daniela.moreno@example.com,Cerro de La Popa,5,"Muy turístico, pero vale la pena cada segundo.",2004-11-26,Medellín,2023-07-22,2023-08-01
85,85,Sofía,Gutiérrez,sofía.gutiérrez@example.com,Plaza Santo Domingo,4,"El servicio en algunos lugares no es el mejor, pero el paisaje lo compensa.",1971-02-18,Bucaramanga,2023-03-15,2023-03-21
86,86,Luis,Gutiérrez,luis.gutiérrez@example.com,Plaza Santo Domingo,5,Los guías turísticos hacen un excelente trabajo explicando la historia del lugar.,1988-03-24,Pereira,2024-06-11,2024-06-18
87,87,Andrea,Fernández,andrea.fernández@example.com,Cerro de La Popa,4,"La comida en los alrededores es deliciosa, pero un poco costosa.",1995-09-23,Bogotá,2024-06-28,2024-07-03
88,88,Valentina,Gutiérrez,valentina.gutiérrez@example.com,Islas del Rosario,2,Perfecto para tomar fotos espectaculares y disfrutar del ambiente.,1968-10-22,Bucaramanga,2023-01-12,2023-01-16
89,89,Fernando,Martínez,fernando.martínez@example.com,Castillo de San Felipe,2,"Muy turístico, pero vale la pena cada segundo.",2002-09-03,Cali,2024-06-18,2024-06-24
90,90,Sofía,López,sofía.lópez@example.com,Plaza Santo Domingo,2,"Una experiencia maravillosa, las vistas son impresionantes.",1984-05-19,Pereira,2023-07-25,2023-08-01
91,91,Sofía,Pérez,sofía.pérez@example.com,Islas del Rosario,4,"El servicio en algunos lugares no es el mejor, pero el paisaje lo compensa.",1979-08-30,Medellín,2023-05-27,2023-06-04
92,92,Daniela,Martínez,daniela.martínez@example.com,Museo del Oro Zenú,2,"Un lugar increíble para visitar, lleno de historia y cultura.",1989-05-13,Manizales,2025-02-28,2025-03-01
93,93,Sofía,Rodríguez,sofía.rodríguez@example.com,Cerro de La Popa,4,"Buena experiencia, pero el clima puede ser muy caluroso durante el día.",2000-06-15,Pereira,2025-01-26,2025-02-04
94,94,Sofía,López,sofía.lópez@example.com,Museo del Oro Zenú,2,Perfecto para tomar fotos espectaculares y disfrutar del ambiente.,2005-12-28,Cali,2025-02-20,2025-02-21
95,95,Valentina,Rodríguez,valentina.rodríguez@example.com,Muelle de los Pegasos,3,"Muy turístico, pero vale la pena cada segundo.",2003-01-07,Pereira,2024-12-09,2024-12-16
96,96,Juan,Díaz,juan.díaz@example.com,Cerro de La Popa,4,Los guías turísticos hacen un excelente trabajo explicando la historia del lugar.,2003-04-05,Cali,2023-04-07,2023-04-15
97,97,Valentina,Pérez,valentina.pérez@example.com,Castillo de San Felipe,1,"Una experiencia maravillosa, las vistas son impresionantes.",1980-03-30,Bogotá,2023-01-14,2023-01-20
98,98,Luis,Gutiérrez,luis.gutiérrez@example.com,Plaza Santo Domingo,3,"Un lugar increíble para visitar, lleno de historia y cultura.",1998-01-08,Pereira,2023-06-23,2023-06-27
99,99,Valentina,Rodríguez,valentina.rodríguez@example.com,Playa Blanca,2,Perfecto para tomar fotos espectaculares y disfrutar del ambiente.,1980-12-11,Medellín,2024-07-24,2024-08-02
100,100,Pedro,Castro,pedro.castro@example.com,Cerro de La Popa,2,"El servicio en algunos lugares no es el mejor, pero el paisaje lo compensa.",2001-03-14,Santa Marta,2024-06-24,2024-07-04
101,101,Sofía,Fernández,sofía.fernández@example.com,Playa Blanca,3,"El servicio en algunos lugares no es el mejor, pero el paisaje lo compensa.",1994-08-05,Bogotá,2025-01-23,2025-01-26
102,102,Fernando,Díaz,fernando.díaz@example.com,Muelle de los Pegasos,5,Definitivamente un sitio para regresar y recomendar.,1971-04-25,Manizales,2024-02-20,2024-03-01
103,103,Pedro,Martínez,pedro.martínez@example.com,Ciudad Amurallada,4,"La comida en los alrededores es deliciosa, pero un poco costosa.",1963-01-26,Cali,2023-09-08,2023-09-12
104,104,Valentina,Moreno,valentina.moreno@example.com,Plaza Santo Domingo,5,"Muy turístico, pero vale la pena cada segundo.",2000-07-18,Ibagué,2024-03-13,2024-03-23
105,105,María,Moreno,maría.moreno@example.com,Plaza Santo Domingo,5,"Buena experiencia, pero el clima puede ser muy caluroso durante el día.",1967-10-31,Barranquilla,2024-10-21,2024-10-30
106,106,Andrea,Pérez,andrea.pérez@example.com,Plaza Santo Domingo,4,Perfecto para tomar fotos espectaculares y disfrutar del ambiente.,1981-09-18,Medellín,2025-02-17,2025-02-26
107,107,Daniela,Gutiérrez,daniela.gutiérrez@example.com,Plaza Santo Domingo,2,"El servicio en algunos lugares no es el mejor, pero el paisaje lo compensa.",1991-02-03,Barranquilla,2023-05-18,2023-05-26
108,108,Fernando,Castro,fernando.castro@example.com,Museo del Oro Zenú,4,"Un lugar increíble para visitar, lleno de historia y cultura.",1968-07-12,Bucaramanga,2024-10-19,2024-10-27
109,109,Fernando,Pérez,fernando.pérez@example.com,Muelle de los Pegasos,4,Los guías turísticos hacen un excelente trabajo explicando la historia del lugar.,1992-07-13,Pereira,2024-05-02,2024-05-09
110,110,Carlos,Gómez,carlos.gómez@example.com,Plaza Santo Domingo,3,Perfecto para tomar fotos espectaculares y disfrutar del ambiente.,1997-04-28,Cúcuta,2023-03-18,2023-03-27
111,111,Pedro,Fernández,pedro.fernández@example.com,Muelle de los Pegasos,4,"Una experiencia maravillosa, las vistas son impresionantes.",1991-08-21,Santa Marta,2023-12-04,2023-12-14
112,112,Daniela,Pérez,daniela.pérez@example.com,Muelle de los Pegasos,4,Definitivamente un sitio para regresar y recomendar.,1968-06-26,Cúcuta,2023-12-21,2023-12-30
113,113,Andrea,Gutiérrez,andrea.gutiérrez@example.com,Playa Blanca,4,"Una experiencia maravillosa, las vistas son impresionantes.",1983-09-07,Bogotá,2024-10-16,2024-10-19
114,114,Andrea,Martínez,andrea.martínez@example.com,Muelle de los Pegasos,4,"Hermoso sitio, pero demasiada gente en temporada alta.",1967-11-20,Cúcuta,2024-11-20,2024-11-23
115,115,Fernando,Martínez,fernando.martínez@example.com,Plaza Santo Domingo,3,"Un lugar increíble para visitar, lleno de historia y cultura.",1996-04-12,Cúcuta,2024-07-06,2024-07-09
116,116,Carlos,Rodríguez,carlos.rodríguez@example.com,Castillo de San Felipe,3,"Muy turístico, pero vale la pena cada segundo.",1982-07-14,Cali,2024-03-07,2024-03-14
117,117,María,López,maría.lópez@example.com,Islas del Rosario,1,"La comida en los alrededores es deliciosa, pero un poco costosa.",1975-03-26,Barranquilla,2024-02-22,2024-02-23
118,118,Sofía,Pérez,sofía.pérez@example.com,Playa Blanca,2,"El servicio en algunos lugares no es el mejor, pero el paisaje lo compensa.",1991-08-31,Cúcuta,2025-02-23,2025-03-04
119,119,Juan,Moreno,juan.moreno@example.com,Museo del Oro Zenú,5,"El servicio en algunos lugares no es el mejor, pero el paisaje lo compensa.",1990-04-14,Barranquilla,2024-07-20,2024-07-25
120,120,Carlos,Díaz,carlos.díaz@example.com,Plaza Santo Domingo,5,"El servicio en algunos lugares no es el mejor, pero el paisaje lo compensa.",1960-11-02,Barranquilla,2023-04-17,2023-04-24
121,121,Juan,Gutiérrez,juan.gutiérrez@example.com,Islas del Rosario,1,Perfecto para tomar fotos espectaculares y disfrutar del ambiente.,1980-02-18,Bogotá,2024-01-07,2024-01-13
122,122,Pedro,Pérez,pedro.pérez@example.com,Ciudad Amurallada,1,"Buena experiencia, pero el clima puede ser muy caluroso durante el día.",1962-03-14,Barranquilla,2024-12-05,2024-12-12
123,123,Carlos,Castro,carlos.castro@example.com,Playa Blanca,3,Perfecto para tomar fotos espectaculares y disfrutar del ambiente.,1971-12-28,Cali,2023-05-21,2023-05-26
124,124,Sofía,Fernández,sofía.fernández@example.com,Ciudad Amurallada,2,"Muy turístico, pero vale la pena cada segundo.",2005-12-21,Cali,2023-09-09,2023-09-18
125,125,Sofía,Gutiérrez,sofía.gutiérrez@example.com,Ciudad Amurallada,2,"La comida en los alrededores es deliciosa, pero un poco costosa.",1960-05-11,Medellín,2024-06-18,2024-06-24
126,126,Luis,López,luis.lópez@example.com,Islas del Rosario,4,"Buena experiencia, pero el clima puede ser muy caluroso durante el día.",1994-07-27,Ibagué,2024-10-08,2024-10-10
127,127,Luis,Moreno,luis.moreno@example.com,Islas del Rosario,1,"Una experiencia maravillosa, las vistas son impresionantes.",1974-11-11,Santa Marta,2023-10-04,2023-10-10
128,128,Luis,Moreno,luis.moreno@example.com,Playa Blanca,4,Definitivamente un sitio para regresar y recomendar.,1975-10-23,Bucaramanga,2023-07-27,2023-08-05
129,129,Andrea,Moreno,andrea.moreno@example.com,Islas del Rosario,4,"Un lugar increíble para visitar, lleno de historia y cultura.",1964-09-16,Bogotá,2024-06-05,2024-06-07
130,130,María,Pérez,maría.pérez@example.com,Castillo de San Felipe,1,Definitivamente un sitio para regresar y recomendar.,1991-09-01,Cúcuta,2023-08-16,2023-08-23
131,131,Fernando,Díaz,fernando.díaz@example.com,Castillo de San Felipe,4,"El servicio en algunos lugares no es el mejor, pero el paisaje lo compensa.",2002-11-22,Cali,2024-01-23,2024-01-28
132,132,Sofía,Gómez,sofía.gómez@example.com,Castillo de San Felipe,5,"Muy turístico, pero vale la pena cada segundo.",2001-06-24,Barranquilla,2023-10-30,2023-11-08
133,133,Valentina,Gutiérrez,valentina.gutiérrez@example.com,Islas del Rosario,3,"Un lugar increíble para visitar, lleno de historia y cultura.",1980-02-17,Ibagué,2023-01-11,2023-01-13
134,134,Andrea,Pérez,andrea.pérez@example.com,Muelle de los Pegasos,4,Los guías turísticos hacen un excelente trabajo explicando la historia del lugar.,1962-10-18,Bogotá,2023-07-01,2023-07-08
135,135,María,Martínez,maría.martínez@example.com,Islas del Rosario,3,"Un lugar increíble para visitar, lleno de historia y cultura.",1996-01-15,Bogotá,2024-05-25,2024-05-27
136,136,María,Díaz,maría.díaz@example.com,Playa Blanca,1,"Una experiencia maravillosa, las vistas son impresionantes.",1969-11-03,Cúcuta,2024-12-04,2024-12-07
137,137,Daniela,López,daniela.lópez@example.com,Islas del Rosario,2,"Un lugar increíble para visitar, lleno de historia y cultura.",1973-08-13,Bucaramanga,2023-10-10,2023-10-15
138,138,Daniela,Rodríguez,daniela.rodríguez@example.com,Ciudad Amurallada,4,Definitivamente un sitio para regresar y recomendar.,2001-11-07,Ibagué,2024-06-23,2024-06-24
139,139,Daniela,Moreno,daniela.moreno@example.com,Ciudad Amurallada,3,"Buena experiencia, pero el clima puede ser muy caluroso durante el día.",1984-02-02,Santa Marta,2023-04-08,2023-04-13
140,140,Luis,Castro,luis.castro@example.com,Plaza Santo Domingo,3,"La comida en los alrededores es deliciosa, pero un poco costosa.",1972-09-30,Bogotá,2024-10-09,2024-10-10
141,141,Luis,Gutiérrez,luis.gutiérrez@example.com,Castillo de San Felipe,1,"Buena experiencia, pero el clima puede ser muy caluroso durante el día.",1999-05-08,Cali,2023-11-25,2023-11-28
142,142,Valentina,Fernández,valentina.fernández@example.com,Cerro de La Popa,2,Perfecto para tomar fotos espectaculares y disfrutar del ambiente.,1990-12-17,Cúcuta,2023-10-08,2023-10-18
143,143,Carlos,Gómez,carlos.gómez@example.com,Plaza Santo Domingo,3,"Muy turístico, pero vale la pena cada segundo.",1992-09-02,Cúcuta,2024-01-30,2024-02-03
144,144,Pedro,Gómez,pedro.gómez@example.com,Cerro de La Popa,1,"Muy turístico, pero vale la pena cada segundo.",1999-09-29,Barranquilla,2024-05-13,2024-05-19
145,145,Pedro,Moreno,pedro.moreno@example.com,Ciudad Amurallada,2,"Buena experiencia, pero el clima puede ser muy caluroso durante el día.",1966-09-12,Bogotá,2024-05-09,2024-05-11
146,146,Sofía,Díaz,sofía.díaz@example.com,Playa Blanca,2,Los guías turísticos hacen un excelente trabajo explicando la historia del lugar.,1971-05-14,Cúcuta,2024-04-06,2024-04-08
147,147,Sofía,Gutiérrez,sofía.gutiérrez@example.com,Museo del Oro Zenú,2,Los guías turísticos hacen un excelente trabajo explicando la historia del lugar.,1964-12-25,Manizales,2024-04-03,2024-04-11
148,148,Sofía,Gómez,sofía.gómez@example.com,Muelle de los Pegasos,5,"El servicio en algunos lugares no es el mejor, pero el paisaje lo compensa.",1982-10-28,Santa Marta,2023-08-09,2023-08-16
149,149,Fernando,Pérez,fernando.pérez@example.com,Cerro de La Popa,5,"La comida en los alrededores es deliciosa, pero un poco costosa.",1961-07-25,Barranquilla,2023-11-06,2023-11-14
